ts::exclusive_with_required_unless_present_all ... ok
test conflicts::flag_conflict ... ok
test conflicts::flag_conflict_2 ... ok
test conflicts::exclusive_with_required_unless_present_any ... ok
test conflicts::flag_conflict_with_all ... ok
test conflicts::flag_conflicts_with_subcommand_long_flag ... ok
test conflicts::flag_conflicts_with_subcommand_precedent ... ok
test conflicts::flag_conflicts_with_subcommand_short_flag ... ok
test conflicts::get_arg_conflicts_with_group ... ok
test conflicts::group_conflicts_with_default_arg ... ok
test conflicts::group_conflicts_with_arg ... ok
test conflicts::group_conflicts_with_default_value ... ok
test conflicts::group_in_conflicts_with ... ok
test conflicts::group_conrflicts_with_subcommands ... ok
test conflicts::not_exclusive_with_defaults ... ok
test conflicts::not_exclusive_with_group ... ok
test conflicts::option_conflicts_with_subcommand ... ok
test conflicts::positional_conflicts_with_subcommand ... ok
test conflicts::positional_conflicts_with_subcommand_precedent ... ok
test conflicts::subcommand_conflict_negates_required ... ok
test conflicts::required_group_conflicts_with_arg ... ok
test conflicts::three_conflicting_arguments ... ok
test conflicts::self_conflicting_arg - should panic ... ok
test conflicts::two_conflicting_arguments ... ok
test default_missing_vals::default_missing_value_flag_value ... ok
test default_missing_vals::default_missing_value_per_occurrence ... ok
test default_missing_vals::delimited_missing_value ... ok
test default_missing_vals::opt_default ... ok
test default_missing_vals::opt_default_user_override ... ok
test default_missing_vals::opt_missing ... ok
test default_missing_vals::opt_present_with_empty_value ... ok
test default_missing_vals::opt_present_with_missing_value ... ok
test default_missing_vals::opt_present_with_value ... ok
test default_missing_vals::valid_index ... ok
test default_vals::conditional_reqs_pass ... ok
test default_vals::default_has_index ... ok
test default_vals::default_if_arg_present_no_arg_with_default ... ok
test default_vals::default_if_arg_present_no_arg_with_default_user_override ... ok
test default_vals::default_if_arg_present_no_arg_with_value_with_default_user_override_fail ... ok
test default_vals::default_if_arg_present_with_default ... ok
test default_vals::default_if_arg_present_no_default_user_override ... ok
test default_vals::default_if_arg_present_no_default ... ok
test default_vals::default_if_arg_present_with_default_user_override ... ok
test default_vals::default_if_arg_present_with_value_no_arg_with_default ... ok
test default_vals::default_if_arg_present_with_value_no_arg_with_default_fail ... ok
test default_vals::default_if_arg_present_with_value_no_default ... ok
test default_vals::default_if_arg_present_with_value_no_default_fail ... ok
test default_vals::default_if_arg_present_no_arg_with_value_with_default_user_override ... ok
test default_vals::default_if_arg_present_with_value_no_default_user_override ... ok
test default_vals::default_if_arg_present_with_value_with_default ... ok
test default_vals::default_if_arg_present_with_value_with_default_user_override ... ok
test default_vals::default_ifs_arg_present ... ok
test default_vals::default_ifs_arg_present_order ... ok
test default_vals::default_ifs_arg_present_user_override ... ok
test default_vals::default_independent_of_trailing ... ok
test default_vals::default_vals_donnot_show_in_smart_usage ... ok
test default_vals::default_value_ifs_os ... ok
test default_vals::default_values_if_arg_present_no_arg_with_value_with_default_user_override ... ok
test default_vals::default_values_if_arg_present_no_arg_with_value_with_default_user_override_fail ... ok
test default_vals::default_values_if_arg_present_with_value_no_arg_with_default ... ok
test default_vals::default_values_if_arg_present_with_value_no_arg_with_default_fail ... ok
test default_vals::default_values_if_arg_present_with_value_no_default ... ok
test default_vals::default_values_if_arg_present_with_value_no_default_fail ... ok
test default_vals::default_values_if_arg_present_with_value_no_default_user_override ... ok
test default_vals::default_values_if_arg_present_with_value_with_default ... ok
test default_vals::default_values_if_arg_present_with_value_with_default_user_override ... ok
test default_vals::default_values_ifs_arg_present ... ok
test default_vals::default_values_ifs_arg_present_order ... ok
test default_vals::default_values_ifs_arg_present_user_override ... ok
test default_vals::default_values_ifs_os ... ok
test default_vals::issue_1050_num_vals_and_defaults ... ok
test default_vals::multiple_defaults ... ok
test default_vals::missing_with_value_delimiter ... ok
test default_vals::no_default_if_arg_present_no_arg_with_value_with_default ... ok
test default_vals::multiple_defaults_override ... ok
test default_vals::no_default_if_arg_present_with_value_no_default ... ok
test default_vals::no_default_if_arg_present_with_value_with_default ... ok
test default_vals::no_default_ifs_arg_present ... ok
test default_vals::no_default_if_arg_present_with_value_with_default_user_override ... ok
test default_vals::no_default_values_if_arg_present_no_arg_with_value_with_default ... ok
test default_vals::no_default_values_if_arg_present_with_value_with_default_user_override ... ok
test default_vals::opt_user_override ... ok
test default_vals::opts ... ok
test default_vals::osstr_opt_user_override ... ok
test default_vals::opt_without_value_fail ... ok
test default_vals::osstr_opts ... ok
test default_vals::osstr_positional_user_override ... ok
test default_vals::osstr_positionals ... ok
test default_vals::positional_user_override ... ok
test default_vals::positionals ... ok
test default_vals::required_args_with_default_values ... ok
test default_vals::required_groups_with_default_values ... ok
test default_vals::valid_delimited_default_values ... ok
test default_vals::with_value_delimiter ... ok
test delimiters::opt_eq_mult_def_delim ... ok
test delimiters::opt_default_no_delim ... ok
test delimiters::opt_eq_no_delim ... ok
test delimiters::opt_s_default_no_delim ... ok
test delimiters::opt_s_eq_no_delim ... ok
test delimiters::opt_s_no_space_mult_no_delim ... ok
test delimiters::opt_s_no_space_no_delim ... ok
test derive_order::derive_order_next_order ... ok
test derive_order::derive_order ... ok
test derive_order::derive_order_no_next_order ... ok
test derive_order::derive_order_subcommand_propagate ... ok
test derive_order::derive_order_subcommand_propagate_with_explicit_display_order ... ok
test derive_order::no_derive_order ... ok
test derive_order::subcommand_sorted_display_order ... ok
test display_order::very_large_display_order ... ok
test derive_order::subcommand_derived_display_order ... ok
test double_require::valid_cases ... ok
test double_require::help_text ... ok
test double_require::no_duplicate_error ... ok
test empty_values::empty_values_with_equals ... ok
test empty_values::no_empty_values ... ok
test empty_values::empty_values ... ok
test empty_values::no_empty_values_with_equals ... ok
test empty_values::no_empty_values_without_equals ... ok
test empty_values::no_empty_values_without_equals_but_requires_equals ... ok
test env::env ... ok
test env::env_os ... ok
test env::env_bool_literal ... ok
test env::multiple_no_delimiter ... ok
test env::multiple_one ... ok
test env::no_env ... ok
test env::multiple_three ... ok
test env::no_env_no_takes_value ... ok
test env::opt_user_override ... ok
test env::not_possible_value ... ok
test env::positionals ... ok
test env::positionals_user_override ... ok
test env::possible_value ... ok
test env::value_parser ... ok
test env::value_parser_invalid ... ok
test env::value_parser_output ... ok
test env::with_default ... ok
test error::app_error ... ok
test error::cant_use_trailing ... ok
test error::cant_use_trailing_subcommand ... ok
test error::kind_formats_validation_error ... ok
test error::edit_error ... ok
test error::kind_prints_help ... ok
test error::rich_formats_validation_error ... ok
test error::suggest_trailing ... ok
test error::trailing_already_in_use ... ok
test error::suggest_trailing_last ... ok
test error::unknown_argument_flag ... ok
test error::unknown_argument_option ... ok
test error::value_validation_has_newline ... ok
test error::flag_used_after_double_dash ... FAILED
test flag_subcommands::flag_subcommand_long ... ok
test flag_subcommands::flag_subcommand_conflict_with_help - should panic ... ok
test flag_subcommands::flag_subcommand_long_infer_exact_match ... ok
test flag_subcommands::flag_subcommand_long_conflict_with_alias - should panic ... ok
test flag_subcommands::flag_subcommand_long_conflict_with_arg_alias - should panic ... ok
test flag_subcommands::flag_subcommand_conflict_with_version - should panic ... ok
test flag_subcommands::flag_subcommand_long_conflict_with_arg - should panic ... ok
test flag_subcommands::flag_subcommand_long_infer_pass ... ok
test flag_subcommands::flag_subcommand_long_infer_fail ... ok
test flag_subcommands::flag_subcommand_long_infer_pass_close ... ok
test flag_subcommands::flag_subcommand_long_with_alias ... ok
test flag_subcommands::flag_subcommand_long_short_normal_usage_string ... ok
test flag_subcommands::flag_subcommand_long_normal_usage_string ... ok
test flag_subcommands::flag_subcommand_long_with_alias_same_as_long_flag ... ok
test flag_subcommands::flag_subcommand_long_with_aliases ... ok
test flag_subcommands::flag_subcommand_long_with_aliases_vis_and_hidden ... ok
test flag_subcommands::flag_subcommand_normal ... ok
test flag_subcommands::flag_subcommand_multiple ... ok
test flag_subcommands::flag_subcommand_short ... ok
test flag_subcommands::flag_subcommand_normal_with_alias ... ok
test flag_subcommands::flag_subcommand_short_after_long_arg ... ok
test flag_subcommands::flag_subcommand_normal_with_alias_vis_and_hidden ... ok
test flag_subcommands::flag_subcommand_short_conflict_with_alias - should panic ... ok
test flag_subcommands::flag_subcommand_short_conflict_with_arg - should panic ... ok
test flag_subcommands::flag_subcommand_short_conflict_with_arg_alias - should panic ... ok
test flag_subcommands::flag_subcommand_short_with_alias ... ok
test flag_subcommands::flag_subcommand_short_normal_usage_string ... ok
test flag_subcommands::flag_subcommand_short_with_alias_same_as_short_flag ... ok
test flag_subcommands::flag_subcommand_short_with_alias_hyphen - should panic ... ok
test flag_subcommands::flag_subcommand_short_with_aliases ... ok
test flag_subcommands::flag_subcommand_short_with_args ... ok
test flag_subcommands::flag_subcommand_short_with_aliases_hyphen - should panic ... ok
test flag_subcommands::flag_subcommand_short_with_aliases_vis_and_hidden ... ok
test flags::flag_using_long ... ok
test flags::flag_using_mixed ... ok
test flags::issue_1284_argument_in_flag_style ... ok
