
running 139 tests
test exec::tests::generate_custom_path_separator ... ok
test exec::tests::template_no_args ... ok
test exit_codes::tests::general_error_if_at_least_one_error ... ok
test exit_codes::tests::success_if_no_error ... ok
test exit_codes::tests::success_when_no_results ... ok
test exec::tests::command_set_no_args ... ok
test exec::tests::tokens_with_placeholder ... ok
test exec::tests::tokens_multiple_batch ... ok
test exec::tests::tokens_multiple ... ok
test exec::tests::tokens_with_basename ... ok
test filter::owner::owner_parsing::both_negate ... ok
test filter::owner::owner_parsing::colon_only ... ok
test exec::tests::tokens_with_literal_braces_and_placeholder ... ok
test exec::tests::tokens_with_parent ... ok
test exec::tests::tokens_single_batch ... ok
test filesystem::tests::strip_current_dir_basic ... ok
test exec::tests::tokens_with_no_extension ... ok
test exec::tests::tokens_with_basename_no_extension ... ok
test filter::owner::owner_parsing::empty ... ok
test filter::owner::owner_parsing::gid_only ... ok
test exec::tests::tokens_with_literal_braces ... ok
test filter::owner::owner_parsing::more_colons ... ok
test filter::owner::owner_parsing::trailing ... ok
test filter::owner::owner_parsing::only_colons ... ok
test filter::owner::owner_parsing::uid_gid ... ok
test filter::owner::owner_parsing::uid_negate ... ok
test filter::owner::owner_parsing::uid_not_gid ... ok
test filter::owner::owner_parsing::uid_only ... ok
test filter::size::tests::byte_minus ... ok
test filter::size::tests::ensure_bb_format_returns_none ... ok
test filter::size::tests::ensure_invalid_unit_returns_none_3 ... ok
test filter::size::tests::ensure_invalid_unit_returns_none_1 ... ok
test filter::size::tests::gibi_minus ... ok
test filter::size::tests::ensure_invalid_unit_returns_none_2 ... ok
test filter::size::tests::byte_plus ... ok
test filter::size::tests::ensure_missing_number_returns_none ... ok
test filter::size::tests::ensure_bib_format_returns_none ... ok
test filter::size::tests::byte_plus_multiplier ... ok
test filter::size::tests::ensure_missing_unit_returns_none ... ok
test filter::size::tests::ensure_bad_format_returns_none_1 ... ok
test filter::size::tests::ensure_bad_format_returns_none_2 ... ok
test filter::size::tests::ensure_bad_format_returns_none_3 ... ok
test filter::size::tests::gibi_minus_suffix ... ok
test filter::size::tests::gibi_minus_upper ... ok
test filter::size::tests::gibi_minus_suffix_upper ... ok
test filter::size::tests::gibi_plus ... ok
test filter::size::tests::gibi_plus_suffix ... ok
test filter::size::tests::giga_minus ... ok
